To,Location
clkt,PIN_L1
cduty[7],PIN_M2
cduty[6],PIN_U11
cduty[5],PIN_U12
cduty[4],PIN_W12
cduty[3],PIN_V12
cduty[2],PIN_M22
cduty[1],PIN_L21
cduty[0],PIN_L22
seg0[0],PIN_J2
seg0[1],PIN_J1
seg0[2],PIN_H2
seg0[3],PIN_H1
seg0[4],PIN_F2
seg0[5],PIN_F1
seg0[6],PIN_E2
seg1[0],PIN_E1
seg1[1],PIN_H6
seg1[2],PIN_H5
seg1[3],PIN_H4
seg1[4],PIN_G3
seg1[5],PIN_D2
seg1[6],PIN_D1
seg2[0],PIN_G5
seg2[1],PIN_G6
seg2[2],PIN_C2
seg2[3],PIN_C1
seg2[4],PIN_E3
seg2[5],PIN_E4
seg2[6],PIN_D3
seg3[0],PIN_F4
seg3[1],PIN_D5
seg3[2],PIN_D6
seg3[3],PIN_J4
seg3[4],PIN_L8
seg3[5],PIN_F3
seg3[6],PIN_D4
